Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Tracking Code field with  null value,RN-61,10117,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 3:55 PM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000pj:,,RN Sprint 1,,,,,,,,Done
Verify the Tracking Code field with alphanumeric characters,RN-60,10116,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 3:53 PM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000pb:,,RN Sprint 1,,,,,,,,Done
Verify the Tracking Code field is enable or not,RN-59,10115,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 3:50 PM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000p3:,,RN Sprint 1,,,,,,,,Done
Verify the Fax field  with special characters,RN-58,10114,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 11:09 AM,08/Sep/21 1:32 PM,08/Sep/21 1:32 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ov:,,RN Sprint 1,,,,,,,,In Progress
Verify the Fax field  with alphabetic characters,RN-57,10113,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 11:06 AM,08/Sep/21 1:31 PM,08/Sep/21 1:31 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000on:,,RN Sprint 1,,,,,,,,In Progress
Verify the Fax field with 11 digits,RN-56,10112,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 11:03 AM,08/Sep/21 1:31 PM,08/Sep/21 1:31 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000of:,,RN Sprint 1,,,,,,,,In Progress
Verify the Fax field  with only numeric values,RN-55,10111,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 11:00 AM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000o7:,,RN Sprint 1,,,,,,,,Done
Verify the Fax field is enable or not,RN-54,10110,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 10:58 AM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nz:,,RN Sprint 1,,,,,,,,Done
Verify the Telephone field with blank spaces,RN-53,10109,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 10:37 AM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nr:,,RN Sprint 1,,,,,,,,Done
Verify that proper error message is coming when the Telephone input field is blank,RN-52,10108,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 10:29 AM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nj:,,RN Sprint 1,,,,,,,,Done
Verify the Telephone input field with null value,RN-51,10107,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 10:25 AM,07/Sep/21 3:29 PM,09/Sep/21 5:08 AM,07/Sep/21 3:29 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000nb:,,RN Sprint 1,,,,,,,,Done
Verify the Telephone field with special characters,RN-50,10106,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 10:20 AM,08/Sep/21 1:28 PM,08/Sep/21 1:28 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000n3:,,RN Sprint 1,,,,,,,,In Progress
Verify the Telephone field with alphabetic characters,RN-49,10105,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 10:17 AM,08/Sep/21 1:31 PM,08/Sep/21 1:31 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mv:,,RN Sprint 1,,,,,,,,In Progress
Verify the length of the telephone number within 10 - 13 digits,RN-48,10104,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:56 AM,08/Sep/21 1:36 PM,08/Sep/21 1:36 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mn:,,RN Sprint 1,,,,,,,,In Progress
Verify the Telephone input field with numeric value,RN-47,10103,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:50 AM,07/Sep/21 3:28 PM,09/Sep/21 5:08 AM,07/Sep/21 3:28 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000mf:,,RN Sprint 1,,,,,,,,Done
Verify the Telephone input field is enable or not,RN-46,10102,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:47 AM,07/Sep/21 3:28 PM,09/Sep/21 5:08 AM,07/Sep/21 3:28 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000m7:,,RN Sprint 1,,,,,,,,Done
Verify the email field with blank spaces,RN-45,10101,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:39 AM,07/Sep/21 3:28 PM,09/Sep/21 5:08 AM,07/Sep/21 3:28 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lz:,,RN Sprint 1,,,,,,,,Done
Verify the email id with alpha numeric characters,RN-44,10100,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:29 AM,07/Sep/21 3:28 PM,09/Sep/21 5:08 AM,07/Sep/21 3:28 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lr:,,RN Sprint 1,,,,,,,,Done
Verify the email id with only special characters,RN-43,10099,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:21 AM,08/Sep/21 1:29 PM,08/Sep/21 1:29 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lj:,,RN Sprint 1,,,,,,,,In Progress
Verify that proper error message is coming when the email input field is blank,RN-42,10098,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:14 AM,07/Sep/21 3:28 PM,09/Sep/21 5:08 AM,07/Sep/21 3:28 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lb:,,RN Sprint 1,,,,,,,,Done
Verify the email id with dot(.) symbol,RN-41,10097,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:09 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000l3:,,RN Sprint 1,,,,,,,,Done
Verify the email id with @ symbol,RN-40,10096,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 9:06 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kv:,,RN Sprint 1,,,,,,,,Done
Verify the length of the email id within 3 to 75 characters,RN-39,10095,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 8:54 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kn:,,RN Sprint 1,,,,,,,,Done
Verify the Email input field with null value,RN-38,10094,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:27 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kf:,,RN Sprint 1,,,,,,,,Done
Verify the Email input field is enable or not.,RN-37,10093,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:23 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000k7:,,RN Sprint 1,,,,,,,,Done
Verify that proper error message is coming when the first name input field is blank,RN-36,10092,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:12 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jz:,,RN Sprint 1,,,,,,,,Done
Verify the last name input field with blank space,RN-35,10091,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:10 AM,07/Sep/21 3:27 PM,09/Sep/21 5:08 AM,07/Sep/21 3:27 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jr:,,RN Sprint 1,,,,,,,,Done
Verify the last name input field with special characters,RN-34,10090,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:07 AM,08/Sep/21 1:34 PM,08/Sep/21 1:34 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jj:,,RN Sprint 1,,,,,,,,In Progress
Verify the last name input field with null value,RN-33,10089,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:05 AM,07/Sep/21 3:26 PM,09/Sep/21 5:08 AM,07/Sep/21 3:26 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jb:,,RN Sprint 1,,,,,,,,Done
Verify the last name input field with more than 32 characters,RN-32,10088,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:03 AM,07/Sep/21 3:26 PM,09/Sep/21 5:08 AM,07/Sep/21 3:26 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000j3:,,RN Sprint 1,,,,,,,,Done
Verify the last name input field with alpha numeric characters,RN-31,10087,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 7:01 AM,07/Sep/21 3:26 PM,09/Sep/21 5:08 AM,07/Sep/21 3:26 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000iv:,,RN Sprint 1,,,,,,,,Done
Verify the last name input field is enable or not.,RN-30,10086,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 6:59 AM,07/Sep/21 3:26 PM,09/Sep/21 5:08 AM,07/Sep/21 3:26 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000in:,,RN Sprint 1,,,,,,,,Done
Verify that proper error message is coming when the first name input field is blank,RN-29,10085,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 6:23 AM,07/Sep/21 3:26 PM,09/Sep/21 5:08 AM,07/Sep/21 3:26 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000if:,,RN Sprint 1,,,,,,,,Done
Verify the first name input field with special characters,RN-26,10082,Test,Blocked,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 6:07 AM,08/Sep/21 1:36 PM,08/Sep/21 1:36 PM,,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hr:,,RN Sprint 1,,,,,,,,In Progress
Verify the first name input field with null value,RN-25,10081,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 5:56 AM,07/Sep/21 12:20 PM,09/Sep/21 5:08 AM,07/Sep/21 12:20 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hj:,,RN Sprint 1,,,,,,,,Done
Verify the first name input field with more than 32 characters,RN-24,10080,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 5:49 AM,07/Sep/21 12:19 PM,09/Sep/21 5:03 AM,07/Sep/21 12:17 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hb:,,RN Sprint 1,,,,,,,,Done
Verify the first name input field with alpha numeric characters,RN-23,10079,Test,Done,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,Done,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,03/Sep/21 5:44 AM,07/Sep/21 12:17 PM,09/Sep/21 5:08 AM,07/Sep/21 12:17 PM,,0,,,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,RN-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000h3:,,RN Sprint 1,,,,,,,,Done
